symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
PHKG2,3,4,4,6,2,3,3,4,2,5,1,3,4,3,3,2,3,3,3,2,3,7,3,1
PHLPP1,3,2,2,0,2,2,6,1,0,4,1,1,1,0,2,1,2,3,1,1,2,1,3,4
PIAS1,3,3,4,5,4,3,6,2,2,4,3,2,3,5,5,4,4,4,4,4,4,3,2,5
PIAS2,1,2,1,1,2,2,2,1,0,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2
PIAS3,6,16,12,11,13,8,3,12,6,9,9,18,6,8,6,9,11,4,11,5,11,27,10,4
PIAS4,6,13,6,3,5,6,5,6,5,4,5,10,4,5,7,5,8,5,4,6,6,7,7,4
PIK3AP1,0,0,0,1,3,0,5,0,0,0,0,0,18,3,4,0,0,0,0,1,4,0,0,2
PIK3C3,4,2,4,1,3,4,1,2,2,1,1,2,1,2,6,4,2,2,3,1,1,1,2,2
PIK3CA,2,4,3,12,5,4,2,1,1,3,1,2,2,4,5,5,3,3,4,4,6,5,3,1
PIK3CD,7,2,4,3,2,0,1,11,0,0,0,2,0,9,2,8,2,7,4,1,1,0,0,0
PIK3R1,5,2,3,1,2,5,3,1,2,1,2,1,4,3,2,10,11,4,2,3,1,6,3,6
PIK3R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3R3,0,4,2,6,0,1,1,1,1,5,0,1,1,5,0,2,1,3,0,0,2,5,2,4
PIK3R4,9,10,15,8,6,14,8,6,7,8,5,13,7,21,9,10,8,11,7,7,10,9,13,7
PIK3R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIM1,2,27,3,6,5,2,13,4,4,13,4,14,19,2,4,3,5,2,3,1,4,1,1,8
PIN1,5,10,11,9,5,11,5,6,9,9,6,7,8,6,6,9,10,13,8,7,3,9,10,4
PITX2,0,1,1,2,1,0,4,1,0,0,0,1,0,0,4,0,0,0,0,0,6,0,0,0
PKM,312,191,382,388,101,494,280,165,354,308,482,176,390,412,141,445,491,632,637,142,149,167,278,123
PKN1,35,25,27,40,41,28,23,68,19,17,27,7,12,16,29,36,32,18,26,62,32,13,17,32
PKN3,10,15,6,3,12,1,14,28,10,7,1,3,13,8,44,4,9,6,3,7,3,10,1,0
PLA2G12A,2,1,3,12,15,3,9,4,3,8,9,4,6,11,5,4,9,3,4,9,9,7,4,7
PLA2G2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G4F,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,8
PLA2G6,3,2,1,0,2,2,2,0,0,1,1,0,1,0,1,1,1,3,1,1,2,1,3,3
PLAT,26,0,30,4,1,88,0,0,2,0,3,0,2,2,0,6,1,18,82,0,8,0,171,0
PLAU,0,4,0,30,48,0,2,62,5,28,37,37,81,39,16,85,60,0,99,11,15,0,0,0
PLCB1,0,0,1,0,2,1,0,0,2,0,1,0,2,1,0,2,0,0,0,2,0,2,3,2
PLCB2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLCB3,11,16,10,14,22,13,19,17,14,10,6,10,10,14,19,28,18,21,8,6,25,16,8,32
PLCB4,1,0,0,1,2,4,7,2,4,1,0,10,0,12,0,7,18,2,1,0,1,7,6,16
PLCD1,1,1,1,0,2,1,13,1,0,5,0,0,1,1,1,2,0,1,4,1,2,1,1,1
PLCD3,3,3,5,11,16,4,26,7,16,12,20,5,0,13,5,5,42,6,6,26,42,14,3,1
PLCE1,1,0,1,0,0,1,6,1,0,5,0,0,0,4,0,0,4,0,2,0,4,2,0,0
PLCG1,9,13,15,4,5,19,6,9,6,13,2,12,16,11,19,11,16,23,4,14,12,11,19,9
PLCG2,0,0,0,1,3,0,0,1,0,1,0,1,1,0,2,0,2,0,0,0,4,0,0,0
PLD1,4,0,1,1,1,1,0,2,1,2,1,0,4,0,0,2,0,2,5,0,1,2,1,0
