symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
AACSP1,1,0,0,1,1,-1,1,0,0,1,0,-1,0,0,0,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,-1,0,0,1,0,0,1,-1,-1,-1
AADAC,0,0,0,0,1,1,-1,0,0,0,1,1,-1,0,0,0,1,-1,0,1,0,1,1,0,-1,0,2,-1,0,1,1,1,1,0,1,0,0,1,0,1,1,1
AADACL2,0,0,0,0,1,1,-1,0,0,0,1,1,-1,0,0,0,1,-1,0,1,0,1,1,0,-1,0,2,-1,0,1,1,1,1,0,1,0,0,1,0,1,1,1
AADACL3,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,1,0,1,0,-1,-1,-1,-1,1,-1,1,2,0,-1,0,1,1,0,1,0,2,-1,0,0,0,0,-1,0,1,0,-1
AADACL4,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,1,0,1,0,-1,-1,-1,-1,1,-1,1,2,0,-1,0,1,1,0,1,0,2,-1,0,0,0,0,-1,0,1,0,-1
AADAT,0,-1,0,-1,0,-2,1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,0
AAED1,1,-1,0,1,-1,0,-1,0,0,-1,-1,-1,0,0,0,1,-1,0,0,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,0,0,-1,1,-1,-1,-1
AAGAB,-1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,0,0,0,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,0,0,-1,0,0,0,1,1,-1,-1
AAK1,1,1,1,-1,0,0,-1,0,0,1,0,1,0,0,0,1,-1,-1,0,1,1,1,0,0,-1,0,0,1,0,-1,0,1,1,2,-1,0,0,-1,0,0,1,-1
AAMDC,-1,0,0,0,0,0,2,-1,0,-1,-1,1,0,0,0,1,1,0,1,1,-1,1,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,1
AAMP,-1,0,1,-1,0,-1,0,-1,0,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,1,0,-1,0,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,0,-1
AANAT,1,1,1,-1,1,0,1,1,0,1,1,-1,0,0,-1,1,-1,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,0,1,0,-1,0,1,1,1,-1,0,-1
AAR2,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,0,1,1,2,1,0,1,0,1,1,-1,1,1,1
AARD,1,0,0,1,1,1,1,2,0,1,1,2,1,0,2,2,1,1,-1,1,0,1,1,-1,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1
AARS,1,0,1,-1,1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,0,2,0,-1,-1,-1,1
AARS2,-1,-1,0,1,-1,0,-1,-1,0,1,-1,1,-1,1,0,1,1,1,1,0,-1,1,-1,1,-1,0,0,1,0,1,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1
AARSD1,1,1,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,0,0,1,-1,0,-1,1,1,0,0,-1
AASDH,-1,-1,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,1,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,0
AASDHPPT,-1,-1,0,0,-1,1,2,0,0,1,-1,1,0,0,0,1,-1,1,1,-1,0,1,-1,0,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,1,1,-1,1,0,1
AASS,1,1,2,0,1,1,1,0,0,0,2,1,1,1,0,0,1,0,0,1,1,1,0,2,-1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,0,1,2,2
AATF,1,1,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,-1,0,0,1,1,0,0,-1
AATK,0,1,1,-1,1,0,1,1,0,1,1,-1,0,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,0,1,1,1,1,0,2,0,-1,0,1,1,1,-1,0,-1
ABAT,1,0,1,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,0,0,1,-1,0,-1,0,0,0,0,-1,1,1
ABCA1,1,0,0,1,0,1,-2,0,0,-1,-1,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,1,0,0,1,1,-2,-1,0
ABCA2,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,1,-1,0,0,-1,1,-1,-1,-1,1,0,1,-1,0,0,-1,-1,0,0,1,0,-1,1,1,-1,-1,-1
ABCA3,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,1
