symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ACSM2A,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ACSM2B,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,-1
ACSM3,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,-1
ACSM4,0,0,1,2,0,0,1,1,-1,0,-1,1,0,-1,1,-1,-1,0,-1,1,0,-2,0,1
ACSM5,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ACSM6,-1,0,0,1,0,-1,0,-1,1,0,1,0,-1,1,-1,-1,-1,0,-1,0,0,1,-1,0
ACSS1,0,0,0,1,0,-1,0,-1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,0,1,1
ACSS2,0,0,1,-1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ACSS3,0,-1,1,-1,0,0,1,-1,1,1,1,1,0,0,-1,-1,1,0,0,0,0,1,1,1
ACTA1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,1,-1,0,1,1,0,0,1,1,0
ACTA2,0,0,0,1,0,-1,0,-1,1,0,1,0,-1,1,0,-1,-1,0,-1,1,0,1,-1,0
ACTB,1,0,0,-1,0,0,1,2,1,1,1,1,-1,-1,0,1,-1,-1,1,1,0,1,1,0
ACTBL2,0,0,1,-1,0,1,1,1,1,0,1,-1,0,0,0,-1,0,0,2,1,0,1,0,0
ACTC1,0,0,0,1,0,-1,1,0,1,1,1,0,1,0,0,1,0,-1,1,0,0,0,0,0
ACTG1,0,0,-1,2,1,0,0,-1,1,-1,0,0,0,-1,1,-1,2,1,1,1,0,1,0,1
ACTG2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,-1,1,0
ACTL6A,1,0,-1,2,0,1,0,-1,0,0,0,1,0,1,-1,1,0,1,1,0,0,2,1,0
ACTL6B,1,0,0,1,0,0,1,0,1,0,1,1,1,-1,1,1,-1,0,-1,1,0,-1,1,1
ACTL7A,0,0,0,1,0,0,0,0,1,0,-1,0,1,-1,1,1,0,-1,-1,0,0,1,-1,2
ACTL7B,0,0,0,1,0,0,0,0,1,0,-1,0,1,-1,1,1,0,-1,-1,0,0,1,-1,2
ACTL8,0,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,0,1,1,-1,0,-1,0,0
ACTL9,-2,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1
ACTL10,0,0,-1,-1,0,1,0,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1
ACTN1,0,0,-1,-1,0,0,0,-1,1,0,1,0,0,1,1,-1,0,-1,1,0,0,1,0,0
