symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
RCAN2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,68,0,0,0,0,0,0
RCHY1,3,2,3,1,5,2,5,4,3,3,3,1,5,5,11,3,4,5,3,4,4,4,6,3,3,2,3,2,3,2,7,7,6,3,3,5,5,4,2,4,2,4
REL,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,2,0,1,8,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
RELA,6,10,8,16,12,24,17,13,13,20,17,16,11,10,6,20,14,19,21,16,8,16,13,11,17,11,15,24,12,9,8,4,9,17,14,22,16,19,12,14,10,16
RELB,6,4,3,9,6,13,7,5,2,11,8,6,3,0,2,7,0,5,7,18,0,3,4,7,1,1,2,2,5,4,5,2,1,5,6,18,3,0,3,1,3,8
RELN,0,0,11,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RET,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0
RFNG,5,3,5,4,9,11,6,12,9,7,7,7,5,7,6,5,4,4,5,4,3,10,11,7,4,7,5,10,7,7,15,3,7,5,3,4,9,12,13,9,8,7
RGL1,4,1,4,1,4,0,8,1,0,1,3,1,1,0,0,0,0,3,3,0,0,0,1,1,1,0,14,3,3,6,1,1,1,0,8,1,8,0,5,27,4,5
RGL2,5,1,7,8,9,8,10,10,24,14,18,12,4,19,9,22,27,16,18,6,4,16,12,9,25,8,8,8,8,10,20,4,4,10,7,5,3,48,15,18,8,15
RGMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RGMB,0,0,0,5,1,5,0,5,6,7,1,3,0,0,5,4,1,5,1,1,0,0,1,1,1,2,0,3,3,0,21,1,1,0,1,2,3,1,30,0,1,2
RGS2,0,8,3,1,10,2,8,5,0,2,1,1,0,3,36,8,0,2,11,15,169,0,0,1,1,36,0,2,2,4,0,2,3,0,2,16,0,0,3,7,10,0
RHEB,74,34,90,49,84,41,38,23,25,50,116,29,30,46,29,29,25,82,50,53,37,32,33,80,66,43,29,56,61,37,45,21,48,26,54,24,33,15,36,38,42,37
RHOA,128,258,227,252,229,194,150,164,292,254,249,223,168,156,135,183,123,262,158,151,235,147,165,109,481,205,177,350,204,234,235,162,182,196,330,162,144,126,127,109,109,289
RHOQ,14,21,27,12,24,10,16,16,8,14,13,14,11,14,5,21,6,3,6,11,6,11,9,7,6,5,5,7,5,13,69,70,27,16,15,8,4,4,15,30,23,20
RICTOR,4,5,2,4,2,3,2,4,2,4,2,4,1,7,4,2,1,5,3,8,1,1,4,1,2,3,4,1,2,2,2,3,4,3,2,8,7,2,5,2,2,5
RIN1,2,1,6,3,5,7,2,5,1,3,7,3,4,0,2,11,1,7,1,3,3,0,0,0,3,4,0,2,2,2,2,0,2,0,2,2,4,0,1,4,5,10
RIPK1,5,6,7,15,5,10,7,11,12,13,6,6,4,11,3,9,10,18,11,15,4,15,7,11,12,7,6,7,10,15,9,9,17,15,14,12,8,11,9,13,5,7
RIPK2,32,16,11,11,28,10,7,14,6,12,8,12,18,15,19,12,13,4,10,4,8,3,8,18,6,18,6,4,10,9,9,5,7,15,6,4,10,8,7,6,5,21
