SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp20,0.04060971344581879,HCT-116,8,14,0.06388941475,8.0,17.0
sp21,0.01013053544629403,HCT-116,8,48,0.00856007899,8.0,33.0
sp22,0.016604861377448918,HCT-116,8,44,0.00927019528999995,8.0,30.0
sp23,0.03638778095446152,HCT-116,8,17,0.01901378,8.0,23.0
sp24,0.10357024605550258,HCT-116,8,2,0.5416933723,8.0,2.0
sp25,0.028286926178041967,HCT-116,8,29,,,
sp26,0.023851617300340116,HCT-116,8,37,,,
sp27,0.027787987028896743,HCT-116,8,31,,,
sp28,0.02184467920453643,HCT-116,8,38,0.05222617189994599,8.0,18.0
sp29,0.017270661059951335,HCT-116,8,42,0.012992504019999998,8.0,26.0
sp30,0.04239083422399192,HCT-116,8,12,0.016555029516249983,8.0,24.0
sp31,0.03661627809346937,HCT-116,8,16,,,
sp32,0.06803466005932202,HCT-116,8,5,0.406668066,8.0,4.0
sp33,0.021396559332332622,HCT-116,8,39,0.182000578,8.0,8.0
sp34,0.01769654596221334,HCT-116,8,40,,,
sp35,0.029387380271375906,HCT-116,8,28,0.047399011915,8.0,19.0
sp36,0.03383464799847456,HCT-116,8,24,0.0223743505,8.0,22.0
sp37,0.0473424562210695,HCT-116,8,10,0.3899336211333333,8.0,5.0
sp38,0.06209087894259258,HCT-116,8,6,0.1424338471,8.0,10.0
sp39,0.03621597221009614,HCT-116,8,19,0.011531809199999951,8.0,27.0
sp40,0.05837020555401868,HCT-116,8,7,0.03195671052666663,8.0,20.0
sp41,0.013324653270147976,HCT-116,8,47,0.0093712483528695,8.0,29.0
sp42,0.05612229181249999,HCT-116,8,8,0.08119625469999997,8.0,14.0
sp43,0.03923965791088494,HCT-116,8,15,,,
sp44,0.015318885555158713,HCT-116,8,45,0.008843799002499987,8.0,31.0
sp45,0.017415526384155337,HCT-116,8,41,0.007414355728333317,8.0,34.0
sp46,0.04210298719089343,HCT-116,8,13,0.3504582965133333,8.0,7.0
sp47,0.02994194943732372,HCT-116,8,27,0.06815310731206663,8.0,15.0
sp48,0.028226590257368404,HCT-116,8,30,0.008773599444999974,8.0,32.0
sp1,0.023073694524715672,HCT-15,9,35,,,
sp2,0.023385484781316006,HCT-15,9,34,0.17577350048934962,9.0,8.0
sp3,0.041205602311842095,HCT-15,9,16,0.15827561146666666,9.0,9.0
sp4,0.021638180346359673,HCT-15,9,37,0.009311043762499974,9.0,24.0
sp5,0.14269706033333332,HCT-15,9,1,0.32913548699999995,9.0,6.0
sp6,0.03888874523784237,HCT-15,9,17,0.0211343473,9.0,17.0
sp7,0.034581838728598366,HCT-15,9,23,0.50000002,9.0,5.0
sp8,0.014451438510671218,HCT-15,9,46,,,
sp9,0.0574185168331967,HCT-15,9,9,,,
sp10,0.03781176594772575,HCT-15,9,18,,,
sp11,0.07396789797407405,HCT-15,9,5,,,
sp12,0.033967685377087366,HCT-15,9,25,0.010368306774999983,9.0,22.0
sp13,0.03247173041171962,HCT-15,9,26,0.012506574718833307,9.0,20.0
sp14,0.09292164094406778,HCT-15,9,3,,,
sp15,0.02522785184840278,HCT-15,9,33,,,
sp16,0.027517371137586188,HCT-15,9,31,1.0,9.0,2.0
sp17,0.01754703232947403,HCT-15,9,43,,,
sp18,0.04829324975566035,HCT-15,9,10,,,
sp19,0.03414617424423422,HCT-15,9,24,,,
sp20,0.0413967827933768,HCT-15,9,15,0.022377505669999975,9.0,16.0
sp21,0.010692968012600227,HCT-15,9,48,0.010169177764999975,9.0,23.0
sp22,0.01775747290451922,HCT-15,9,41,,,
sp23,0.03762644148161537,HCT-15,9,20,0.02046302759999995,9.0,18.0
sp24,0.10803778257996784,HCT-15,9,2,0.53151513705,9.0,4.0
sp25,0.027559947687731286,HCT-15,9,30,,,
sp26,0.02739114140965985,HCT-15,9,32,,,
sp27,0.028993259099977815,HCT-15,9,29,,,
sp28,0.01767578635987282,HCT-15,9,42,0.023096108410417492,9.0,15.0
sp29,0.018455014472549172,HCT-15,9,39,0.09884809397233334,9.0,11.0
sp30,0.04362765930856047,HCT-15,9,13,0.015668535994833335,9.0,19.0
sp31,0.0348103681742857,HCT-15,9,22,,,
